,name,watchtime,budget,weekend_gross_us_canada,weekend_date
236,Independence Day: Resurgence,120.0,165000000.0,41039944.0,2016-6-26
237,The Jungle Book,106.0,175000000.0,103261464.0,2016-4-17
238,Hostiles,134.0,39000000.0,22849.0,2017-12-24
239,Good Boys,90.0,20000000.0,21402605.0,2019-8-18
240,The Equalizer 2,121.0,62000000.0,36011640.0,2018-7-22
241,Teenage Mutant Ninja Turtles: Out of the Shadows,112.0,135000000.0,35316382.0,2016-6-5
242,Gemini Man,117.0,138000000.0,20552372.0,2019-10-13
243,Jigsaw,92.0,10000000.0,16640452.0,2017-10-29
244,Widows,129.0,42000000.0,12361307.0,2018-11-18
245,Happy Death Day,96.0,4800000.0,26039025.0,2017-10-15
246,The Post,116.0,50000000.0,526011.0,2017-12-24
247,A Cure for Wellness,146.0,40000000.0,4356941.0,2017-2-19
248,Girls Trip,122.0,19000000.0,31201920.0,2017-7-23
249,Destroyer,121.0,9000000.0,55347.0,2018-12-30
250,xXx: Return of Xander Cage,107.0,85000000.0,20130142.0,2017-1-22
251,Pride and Prejudice and Zombies,108.0,28000000.0,5324240.0,2016-2-7
252,War for the Planet of the Apes,140.0,150000000.0,56262929.0,2017-7-16
253,Inferno,121.0,75000000.0,14860425.0,2016-10-30
254,Waves,135.0,6000000.0,134333.0,2019-11-17
255,21 Bridges,99.0,33000000.0,9261268.0,2019-11-24
256,Scary Stories to Tell in the Dark,108.0,25000000.0,20915346.0,2019-8-11
257,Pokémon: Detective Pikachu,104.0,150000000.0,54365242.0,2019-5-12
258,Mile 22,94.0,50000000.0,13710825.0,2018-8-19
259,The Edge of Seventeen,104.0,9000000.0,4754215.0,2016-11-20
260,How to Train Your Dragon: The Hidden World,104.0,129000000.0,55022245.0,2019-2-24
261,Robin Hood,116.0,100000000.0,9195670.0,2018-11-25
262,Tag,100.0,28000000.0,14947396.0,2018-6-17
263,Annabelle: Creation,109.0,15000000.0,35006404.0,2017-8-13
264,Pacific Rim: Uprising,111.0,150000000.0,28116535.0,2018-3-25
265,Assassin's Creed,115.0,125000000.0,10278225.0,2016-12-25
266,Finding Dory,97.0,200000000.0,135060273.0,2016-6-19
267,Dirty Grandpa,102.0,25000000.0,11111875.0,2016-1-24
268,A Beautiful Day in the Neighborhood,109.0,25000000.0,13251238.0,2019-11-24
269,Cold Pursuit,119.0,60000000.0,11030233.0,2019-2-10
270,The Mountain Between Us,112.0,35000000.0,10551336.0,2017-10-8
271,Why Him?,111.0,38000000.0,11002986.0,2016-12-25
272,Angel Has Fallen,121.0,40000000.0,21380987.0,2019-8-25
273,The Lego Batman Movie,104.0,80000000.0,53003468.0,2017-2-12
274,Maze Runner: The Death Cure,143.0,62000000.0,24167011.0,2018-1-28
275,Peter Rabbit,95.0,50000000.0,25010928.0,2018-2-11
276,Brightburn,90.0,6000000.0,7845658.0,2019-5-26
277,Maleficent: Mistress of Evil,119.0,185000000.0,36948713.0,2019-10-20
278,Lights Out,81.0,4900000.0,21688103.0,2016-7-24
279,A Monster Calls,108.0,43000000.0,30909.0,2016-12-25
280,The Dark Tower,95.0,60000000.0,19153698.0,2017-8-6
281,Life Itself,117.0,10000000.0,2123463.0,2018-9-23
282,Creed II,130.0,50000000.0,35574710.0,2018-11-25
283,The Space Between Us,120.0,30000000.0,3775596.0,2017-2-5
284,Ralph Breaks the Internet,112.0,175000000.0,56237634.0,2018-11-25
285,The Bad Batch,118.0,6000000.0,89111.0,2017-6-25
286,Nerve,96.0,19000000.0,9445456.0,2016-7-31
287,"Love, Simon",110.0,17000000.0,11756244.0,2018-3-18
288,Crawl,87.0,13500000.0,12005210.0,2019-7-14
289,Dora and the Lost City of Gold,102.0,49000000.0,17431588.0,2019-8-11
290,Colossal,109.0,15000000.0,120226.0,2017-4-9
291,The Foreigner,113.0,35000000.0,13113024.0,2017-10-15
292,Before I Fall,98.0,5000000.0,4690214.0,2017-3-5
293,Ferdinand,108.0,111000000.0,13401586.0,2017-12-17
294,The Big Sick,120.0,5000000.0,421577.0,2017-6-25
295,Mary Poppins Returns,130.0,130000000.0,23523121.0,2018-12-23
296,Blockers,102.0,21000000.0,20556350.0,2018-4-8
297,Fences,139.0,24000000.0,129462.0,2016-12-18
298,Bastille Day,92.0,20000000.0,41546.0,2016-11-20
299,On the Basis of Sex,120.0,20000000.0,686355.0,2018-12-30
300,Just Mercy,137.0,25000000.0,107858.0,2019-12-29
301,Morgan,92.0,8000000.0,2012709.0,2016-9-4
302,Keanu,100.0,15000000.0,9453224.0,2016-5-1
303,London Has Fallen,99.0,60000000.0,21635601.0,2016-3-6
304,Annabelle Comes Home,106.0,30000000.0,20269723.0,2019-6-30
305,Bad Moms,100.0,20000000.0,23817340.0,2016-7-31
306,Dumbo,112.0,170000000.0,45990748.0,2019-3-31
