,name,watchtime,budget,weekend_gross_us_canada,weekend_date,vader_sentiment,text_blob_polarity,text_blob_subjectivity,popularity,weekend_roi
69,Ocean's Eight,110.0,70000000.0,41607378.0,2018-6-10,0.3614616666666667,0.1861870892336619,0.32998503033825594,175.0,0.5943911142857143
70,Ready or Not,95.0,6000000.0,8015590.0,2019-8-25,0.04607961980589757,0.05892497181242901,0.356615306650773,138755.0,1.3359316666666667
71,Suspiria,152.0,20000000.0,184037.0,2018-10-28,-0.07028375299707602,0.08204946014714654,0.29387305229046456,100.0,0.00920185
72,Ready Player One,140.0,175000000.0,41764050.0,2018-4-1,0.22642307889642718,0.12893203911280687,0.4253601002209884,28666.0,0.23865171428571427
73,American Made,115.0,50000000.0,16776390.0,2017-10-1,0.053125437308868734,0.07490845611653352,0.3162010273065216,35324.0,0.3355278
74,Baywatch,116.0,69000000.0,18503871.0,2017-5-28,0.06558332372571905,0.055102641913556655,0.20458209405421843,8497.0,0.26817204347826085
75,Star Wars: Episode VIII - The Last Jedi,152.0,317000000.0,220009584.0,2017-12-17,-0.3466654955808081,0.04542496377094309,0.1677231463939166,332.0,0.6940365425867507
76,Doctor Sleep,152.0,45000000.0,14114124.0,2019-11-10,0.009812213740850865,0.045256655645036836,0.3219539204146145,10936.0,0.3136472
77,Fantastic Beasts and Where to Find Them,132.0,180000000.0,74403387.0,2016-11-20,0.46663382179848967,0.28981302839913486,0.6464123323961539,1935.0,0.41335215
78,Annihilation,115.0,40000000.0,11071584.0,2018-2-25,0.034991930779193436,0.0527089692329835,0.3210647833918031,7265.0,0.2767896
79,Rocketman,121.0,40000000.0,25725722.0,2019-6-2,0.10380120357341462,0.04803435220304065,0.25256564666577075,36658.0,0.64314305
80,Me Before You,106.0,20000000.0,18723269.0,2016-6-5,0.06052520913599028,0.05767856283257302,0.34780772735640453,149081.0,0.93616345
81,Batman v Superman: Dawn of Justice,152.0,250000000.0,166007347.0,2016-3-27,0.3593534856751582,0.07143071122819357,0.24952964703872113,8050.0,0.664029388
82,Alita: Battle Angel,122.0,170000000.0,28525613.0,2019-2-17,-0.13291527979823697,0.11166501736808175,0.2323502757275076,103.0,0.16779772352941177
83,Men in Black: International,114.0,110000000.0,30035838.0,2019-6-16,0.014373892291410442,-0.018933442243721985,0.27427717656491635,4193.0,0.27305307272727275
84,Solo: A Star Wars Story,135.0,275000000.0,84420489.0,2018-5-27,-0.33445175141065997,0.07178425088622183,0.21398537035518628,5921.0,0.30698359636363637
85,John Wick: Chapter 2,122.0,40000000.0,30436123.0,2017-2-12,0.10729703359301143,0.1074827376695394,0.21444675218384038,4191.0,0.760903075
86,Vice,132.0,60000000.0,7768371.0,2018-12-30,0.12688901814866935,0.06720817942789858,0.2845975883158047,100.0,0.12947285
87,The Wretched,95.0,1200000.0,65908.0,2020-5-3,-0.01261418649256489,0.03720890254074471,0.3563180432466424,119.0,0.05492333333333333
88,The Shape of Water,123.0,19400000.0,166564.0,2017-12-3,0.07071320942163375,0.09459166791053397,0.3488678354407332,4476.0,0.008585773195876289
89,Terminator: Dark Fate,128.0,185000000.0,29033832.0,2019-11-3,-0.007672047014747547,-0.028993365530510084,0.393230646502811,4965.0,0.15693963243243242
90,Hell or High Water,102.0,12000000.0,621329.0,2016-8-14,-0.12662078365371365,0.08248435525008047,0.4022540317258069,3524.0,0.051777416666666666
91,Downton Abbey,122.0,13000000.0,31033665.0,2019-9-22,0.08689278013509598,0.08241962645396746,0.2682030245655355,16135.0,2.387205
92,Transformers: The Last Knight,154.0,217000000.0,44680073.0,2017-6-25,-0.011444202410132706,0.011869732986581297,0.20825850318725958,2225.0,0.20589895391705068
93,Aquaman,143.0,160000000.0,67873522.0,2018-12-23,0.08491940025970615,0.08584692968929607,0.2814321707293052,100.0,0.4242095125
94,The Lion King,118.0,260000000.0,191770759.0,2019-7-21,0.07413666270336773,0.0513451376227838,0.2840261138355516,40514.0,0.7375798423076924
95,Captain Fantastic,118.0,5000000.0,93824.0,2016-7-10,0.2812350440696458,0.20345628497801838,0.5696259784834633,920.0,0.0187648
96,Zombieland: Double Tap,99.0,42000000.0,26803104.0,2019-10-20,0.08374627753129124,0.024529345587810822,0.17012880221344726,2478.0,0.6381691428571429
97,Coco,105.0,175000000.0,50802605.0,2017-11-26,0.10945536238281249,0.08990522397906849,0.26606214478228835,12823.0,0.2903006
98,10 Cloverfield Lane,103.0,15000000.0,24727437.0,2016-3-13,0.08776120519771446,0.05906329559897028,0.2932118636803565,4633.0,1.6484958
99,Red Sparrow,140.0,69000000.0,16853422.0,2018-3-4,-0.03858267102557576,0.004294467690737064,0.15377854687476356,1570.0,0.24425249275362318
100,Justice League,120.0,300000000.0,93842239.0,2017-11-19,0.3147438471502233,0.051055066367589344,0.2261528435856393,38957.0,0.3128074633333333
101,"I, Tonya",119.0,11000000.0,264155.0,2017-12-10,0.13921561524450052,0.08494440347145266,0.2384740106786555,243.0,0.02401409090909091
102,Aladdin,128.0,183000000.0,91500929.0,2019-5-26,0.09461592446641486,0.08099701576146051,0.2512027189780531,62768.0,0.5000050765027323
103,Fast & Furious Presents: Hobbs & Shaw,137.0,200000000.0,60038950.0,2019-8-4,-0.3491093469387755,0.19747606918214058,0.538549352122745,1729.0,0.30019475
104,Kingsman: The Golden Circle,141.0,104000000.0,39023010.0,2017-9-24,0.09150474515857435,0.23366542598339626,0.4777588402587344,524.0,0.37522125
105,Ghostbusters,117.0,144000000.0,46018755.0,2016-7-17,-0.04173417717113665,0.027730146510488943,0.35234897243787605,59535.0,0.3195746875
106,X-Men: Apocalypse,144.0,178000000.0,65769562.0,2016-5-29,0.019522131783687228,0.04852676615991938,0.2866311777229549,2208.0,0.3694919213483146
107,Phantom Thread,130.0,35000000.0,216495.0,2017-12-31,0.21556621592678155,0.18723592542456854,0.3809436540039029,1367.0,0.006185571428571428
108,Fifty Shades Freed,105.0,55000000.0,38560195.0,2018-2-11,0.3305500593730229,0.04868382337189879,0.30745516328431965,687.0,0.7010944545454545
109,The Meg,113.0,130000000.0,45402195.0,2018-8-12,0.07181146723743607,0.056238526782539926,0.36619954895405515,8449.0,0.34924765384615386
110,Crazy Rich Asians,120.0,30000000.0,26510140.0,2018-8-19,0.27952146804079037,0.011281247164506302,0.596316928400232,8542.0,0.8836713333333334
111,12 Strong,130.0,35000000.0,15815025.0,2018-1-21,0.05907283969155049,0.08200870771439658,0.34850453402361,12613.0,0.45185785714285714
112,Atomic Blonde,115.0,30000000.0,18286420.0,2017-7-30,0.12884589031834873,0.07368506117818323,0.20226043923999057,2498.0,0.6095473333333333
113,Den of Thieves,140.0,30000000.0,15206108.0,2018-1-21,-0.2952128816002009,0.08350437579879355,0.348101307186324,1370.0,0.5068702666666667
114,13 Hours,144.0,50000000.0,16194738.0,2016-1-17,0.113910407200155,0.0786210755368444,0.32463050084006895,16024.0,0.32389476
115,The Outpost,123.0,18000000.0,31042.0,2020-7-5,0.0036309422795933284,0.031769735238469037,0.33474590750011507,348.0,0.0017245555555555556
116,The Shallows,86.0,17000000.0,16800868.0,2016-6-26,0.173749309734946,0.13778867305567177,0.3281567864959486,3874.0,0.9882863529411765
117,A Simple Favor,117.0,20000000.0,16011689.0,2018-9-16,0.19095948452876194,0.04462444213701213,0.36264628255147513,2345.0,0.80058445
118,Beautiful Boy,120.0,25000000.0,218888.0,2018-10-14,0.1355431406228842,0.15302668246923434,0.4428629677855932,100.0,0.00875552
119,The Conjuring 2,134.0,40000000.0,40406314.0,2016-6-12,0.04603758506053162,0.11035038654769264,0.24466682135036524,896.0,1.01015785
120,Booksmart,102.0,6000000.0,6933620.0,2019-5-26,0.1718178186388485,0.10406469839733791,0.3200599408549088,2105.0,1.1556033333333333
121,Only the Brave,134.0,38000000.0,6002665.0,2017-10-22,0.08078575892276638,0.10839054408877011,0.40884597151884255,20507.0,0.15796486842105262
122,Toy Story 4,100.0,200000000.0,120908065.0,2019-6-23,0.0722270191533735,0.10085800948953266,0.31011428702610105,40677.0,0.604540325
123,Richard Jewell,131.0,45000000.0,4705265.0,2019-12-15,-0.10320640271132377,0.003438506553144711,0.2071831587333232,100.0,0.10456144444444444
124,King Arthur: Legend of the Sword,126.0,175000000.0,15371270.0,2017-5-14,0.0038849887377791436,-0.006320202206215448,0.2491970096074082,734.0,0.08783582857142858
125,Ad Astra,123.0,90000000.0,19001398.0,2019-9-22,0.09434259377617397,0.1172937030980227,0.2728224725139914,1411.0,0.21112664444444446
126,Mamma Mia! Here We Go Again,114.0,75000000.0,34952180.0,2018-7-22,-0.10367613978739061,0.07242164400585148,0.20892622808982783,320.0,0.46602906666666666
127,Gods of Egypt,127.0,140000000.0,14123903.0,2016-2-28,0.08546928254590341,0.07799907556800449,0.1992808747511134,1015.0,0.10088502142857143
128,Midway,138.0,100000000.0,17897419.0,2019-11-10,0.032985503504588634,0.037554462723594806,0.28564833407581897,12168.0,0.17897419
129,The Addams Family,86.0,24000000.0,30300007.0,2019-10-13,0.07696827422686496,0.09877503706924314,0.3675622499014124,1093.0,1.2625002916666668
130,Truth or Dare,100.0,3500000.0,18667855.0,2018-4-15,0.1559905087883535,0.022595940863920642,0.3299227263981404,7151.0,5.333672857142857
131,Molly's Game,140.0,30000000.0,2349967.0,2017-12-31,0.3621872797619048,-0.05913591269841271,0.46832564484126993,142.0,0.07833223333333333
132,Glass,129.0,20000000.0,40328920.0,2019-1-20,0.06072852327804656,0.0574634953359068,0.3252418680041845,100.0,2.016446
133,My Big Fat Greek Wedding 2,94.0,18000000.0,17861950.0,2016-3-27,0.12016677655677657,0.01464248714248714,0.17603437072187075,36.0,0.9923305555555556
134,Bad Times at the El Royale,141.0,32000000.0,7132647.0,2018-10-14,-0.2523515161618527,-0.31676123037819376,0.5608421619052489,50.0,0.22289521875
135,The Favourite,119.0,15000000.0,422410.0,2018-11-25,0.16182095516739184,0.09387664291512174,0.3483644506031434,206.0,0.028160666666666667
136,The Peanut Butter Falcon,97.0,6200000.0,204793.0,2019-8-11,0.07901763157894737,0.08728044859623807,0.22881941279967602,39.0,0.033031129032258064
137,Miss Peregrine's Home for Peculiar Children,127.0,110000000.0,28871140.0,2016-10-2,0.10092939925571505,0.08515749601275917,0.27473036020185143,473.0,0.2624649090909091
138,Moonlight,111.0,4000000.0,402075.0,2016-10-23,0.06043761513304527,0.059827249787859076,0.3174154764957352,6058.0,0.10051875
139,Manchester by the Sea,137.0,9000000.0,256498.0,2016-11-20,0.05464756097560975,0.17060679886638075,0.3688039369973168,689.0,0.028499777777777777
140,Hellboy,120.0,50000000.0,12045147.0,2019-4-14,0.01765223860856981,0.03494362248401731,0.29463164284199267,39184.0,0.24090294
